run_id,task_id,num_ctx,tool_output_format,baseline_manifest_hash,turns,first_ttft_ms,total_latency_ms
"20260827T023500Z_M1_EXACT_FILE_seed01","M1_EXACT_FILE",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,9283,19881
"20260827T023500Z_M2_DISCOVER_FILE_seed01","M2_DISCOVER_FILE",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",7,1415,14316
"20260827T023500Z_M3_NESTED_FILE_seed01","M3_NESTED_FILE",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",1,3060,3060
"20260827T023500Z_M4_OVERWRITE_PROOF_seed01","M4_OVERWRITE_PROOF",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",1,2558,2558
"20260827T023500Z_M5_SMALL_PATCH_seed01","M5_SMALL_PATCH",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,990,10732
"20260827T023500Z_M6_PRESERVE_SENTINELS_seed01","M6_PRESERVE_SENTINELS",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",7,1027,13059
"20260827T023500Z_M7_LINE_ENDINGS_seed01","M7_LINE_ENDINGS",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,1052,10819
"20260827T023500Z_M8_DISTRACTOR_FILES_seed01","M8_DISTRACTOR_FILES",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,1062,11202
"20260827T023500Z_M9_DISAMBIGUATION_seed01","M9_DISAMBIGUATION",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",1,4305,4305
"20260827T023500Z_M10_RETRY_RECOVERY_seed01","M10_RETRY_RECOVERY",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,1222,33026
"20260827T023500Z_M11_CONSTRAINT_RETENTION_seed01","M11_CONSTRAINT_RETENTION",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,1457,11330
"20260827T023500Z_M12_FOCUSED_FILE_seed01","M12_FOCUSED_FILE",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",3,2301,12429
"20260827T023500Z_M13_EXPLICIT_OVERRIDES_FOCUS_seed01","M13_EXPLICIT_OVERRIDES_FOCUS",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,1156,15753
"20260827T023500Z_M14_STALE_CONTENT_SAFETY_seed01","M14_STALE_CONTENT_SAFETY",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",1,3315,3315
"20260827T023500Z_M15_SECURITY_SANDBOX_seed01","M15_SECURITY_SANDBOX",8192,"raw","61485f42ab4cfda6fe4bbd869e8e8d98a4563331640caaabbb728cf3767c804d",8,1166,8950
